"学号","姓名","平时成绩","期中成绩","期末成绩","学期成绩","班级名次","期末总评"
"C121401","","83.0","84.0","67.0","","",""
"C121402","","100.0","96.0","86.0","","",""
"C121403","","84.0","62.0","76.0","","",""
"C121404","","74.0","88.0","95.0","","",""
"C121405","","92.0","89.0","85.0","","",""
"C121406","","95.0","85.0","86.0","","",""
"C121407","","89.0","79.0","85.0","","",""
"C121408","","94.0","92.0","93.0","","",""
"C121409","","67.0","79.0","58.0","","",""
"C121410","","64.0","77.0","62.0","","",""
"C121411","","96.0","92.0","94.0","","",""
"C121412","","77.0","83.0","79.0","","",""
"C121413","","87.0","92.0","88.0","","",""
"C121414","","85.0","90.0","93.0","","",""
"C121415","","72.0","68.0","66.0","","",""
"C121416","","87.0","92.0","89.0","","",""
"C121417","","78.0","57.0","67.0","","",""
"C121418","","66.0","75.0","80.0","","",""
"C121419","","90.0","81.0","85.0","","",""
"C121420","","85.0","81.0","76.0","","",""
"C121421","","68.0","66.0","71.0","","",""
"C121422","","90.0","92.0","93.0","","",""
"C121423","","66.0","54.0","78.0","","",""
"C121424","","98.0","87.0","94.0","","",""
"C121425","","61.0","64.0","69.0","","",""
"C121426","","68.0","95.0","80.0","","",""
"C121427","","90.0","88.0","92.0","","",""
"C121428","","91.0","88.0","93.0","","",""
"C121429","","67.0","78.0","66.0","","",""
"C121430","","86.0","65.0","78.0","","",""
"C121431","","77.0","88.0","82.0","","",""
"C121432","","82.0","84.0","87.0","","",""
"C121433","","93.0","81.0","92.0","","",""
"C121434","","98.0","93.0","96.0","","",""
"C121435","","93.0","96.0","92.0","","",""
"C121436","","82.0","86.0","83.0","","",""
"C121437","","85.0","98.0","94.0","","",""
"C121438","","93.0","96.0","94.0","","",""
"C121439","","88.0","89.0","94.0","","",""
"C121440","","79.0","74.0","88.0","","",""
"C121441","","85.0","86.0","88.0","","",""
"C121442","","92.0","94.0","97.0","","",""
"C121443","","85.0","87.0","91.0","","",""
"C121444","","70.0","64.0","60.0","","",""
