"学号","姓名","平时成绩","期中成绩","期末成绩","学期成绩","班级名次","期末总评"
"C121401","","97.0","83.0","90.0","","",""
"C121402","","95.0","89.0","87.0","","",""
"C121403","","92.0","90.0","100.0","","",""
"C121404","","87.0","93.0","99.0","","",""
"C121405","","77.0","87.0","72.0","","",""
"C121406","","91.0","100.0","92.0","","",""
"C121407","","88.0","91.0","92.0","","",""
"C121408","","75.0","74.0","85.0","","",""
"C121409","","80.0","82.0","72.0","","",""
"C121410","","71.0","77.0","78.0","","",""
"C121411","","88.0","87.0","92.0","","",""
"C121412","","77.0","83.0","73.0","","",""
"C121413","","98.0","90.0","94.0","","",""
"C121414","","88.0","83.0","77.0","","",""
"C121415","","76.0","82.0","74.0","","",""
"C121416","","98.0","92.0","90.0","","",""
"C121417","","95.0","87.0","86.0","","",""
"C121418","","99.0","92.0","97.0","","",""
"C121419","","88.0","93.0","94.0","","",""
"C121420","","96.0","95.0","98.0","","",""
"C121421","","87.0","75.0","83.0","","",""
"C121422","","99.0","92.0","93.0","","",""
"C121423","","82.0","90.0","84.0","","",""
"C121424","","79.0","81.0","87.0","","",""
"C121425","","77.0","78.0","85.0","","",""
"C121426","","98.0","91.0","81.0","","",""
"C121427","","79.0","88.0","76.0","","",""
"C121428","","90.0","96.0","98.0","","",""
"C121429","","84.0","89.0","82.0","","",""
"C121430","","89.0","91.0","93.0","","",""
"C121431","","88.0","75.0","86.0","","",""
"C121432","","90.0","95.0","96.0","","",""
"C121433","","96.0","91.0","97.0","","",""
"C121434","","76.0","77.0","74.0","","",""
"C121435","","99.0","92.0","91.0","","",""
"C121436","","91.0","88.0","97.0","","",""
"C121437","","73.0","84.0","92.0","","",""
"C121438","","95.0","82.0","89.0","","",""
"C121439","","83.0","84.0","86.0","","",""
"C121440","","81.0","77.0","82.0","","",""
"C121441","","70.0","77.0","79.0","","",""
"C121442","","91.0","93.0","96.0","","",""
"C121443","","100.0","94.0","95.0","","",""
"C121444","","88.0","91.0","93.0","","",""
