"学号","姓名","平时成绩","期中成绩","期末成绩","学期成绩","班级名次","期末总评"
"C121401","","85.0","88.0","90.0","","",""
"C121402","","116.0","102.0","117.0","","",""
"C121403","","113.0","99.0","100.0","","",""
"C121404","","99.0","89.0","96.0","","",""
"C121405","","100.0","112.0","113.0","","",""
"C121406","","113.0","105.0","99.0","","",""
"C121407","","79.0","102.0","104.0","","",""
"C121408","","96.0","92.0","89.0","","",""
"C121409","","75.0","85.0","83.0","","",""
"C121410","","83.0","76.0","81.0","","",""
"C121411","","107.0","106.0","101.0","","",""
"C121412","","74.0","86.0","88.0","","",""
"C121413","","90.0","91.0","94.0","","",""
"C121414","","112.0","116.0","107.0","","",""
"C121415","","94.0","90.0","91.0","","",""
"C121416","","90.0","81.0","96.0","","",""
"C121417","","82.0","88.0","77.0","","",""
"C121418","","90.0","95.0","101.0","","",""
"C121419","","103.0","104.0","117.0","","",""
"C121420","","98.0","75.0","84.0","","",""
"C121421","","118.0","106.0","116.0","","",""
"C121422","","80.0","92.0","99.0","","",""
"C121423","","95.0","89.0","100.0","","",""
"C121424","","102.0","105.0","96.0","","",""
"C121425","","98.0","95.0","102.0","","",""
"C121426","","118.0","112.0","101.0","","",""
"C121427","","87.0","96.0","102.0","","",""
"C121428","","120.0","118.0","107.0","","",""
"C121429","","97.0","91.0","83.0","","",""
"C121430","","106.0","118.0","98.0","","",""
"C121431","","86.0","92.0","96.0","","",""
"C121432","","98.0","97.0","101.0","","",""
"C121433","","95.0","104.0","115.0","","",""
"C121434","","112.0","99.0","106.0","","",""
"C121435","","108.0","98.0","110.0","","",""
"C121436","","85.0","71.0","79.0","","",""
"C121437","","98.0","107.0","110.0","","",""
"C121438","","98.0","94.0","99.0","","",""
"C121439","","101.0","109.0","104.0","","",""
"C121440","","101.0","97.0","106.0","","",""
"C121441","","98.0","72.0","89.0","","",""
"C121442","","111.0","111.0","88.0","","",""
"C121443","","77.0","79.0","98.0","","",""
"C121444","","111.0","103.0","118.0","","",""
