"学号","姓名","平时成绩","期中成绩","期末成绩","学期成绩","班级名次","期末总评"
"C121401","","89.0","97.0","95.0","","",""
"C121402","","100.0","94.0","96.0","","",""
"C121403","","98.0","88.0","95.0","","",""
"C121404","","93.0","92.0","95.0","","",""
"C121405","","95.0","94.0","100.0","","",""
"C121406","","80.0","77.0","72.0","","",""
"C121407","","97.0","91.0","98.0","","",""
"C121408","","74.0","66.0","79.0","","",""
"C121409","","92.0","100.0","98.0","","",""
"C121410","","80.0","79.0","73.0","","",""
"C121411","","90.0","97.0","95.0","","",""
"C121412","","74.0","79.0","81.0","","",""
"C121413","","71.0","89.0","77.0","","",""
"C121414","","87.0","94.0","96.0","","",""
"C121415","","81.0","82.0","93.0","","",""
"C121416","","83.0","89.0","81.0","","",""
"C121417","","76.0","71.0","80.0","","",""
"C121418","","89.0","86.0","83.0","","",""
"C121419","","99.0","93.0","100.0","","",""
"C121420","","91.0","94.0","88.0","","",""
"C121421","","71.0","78.0","75.0","","",""
"C121422","","98.0","95.0","93.0","","",""
"C121423","","89.0","88.0","91.0","","",""
"C121424","","95.0","82.0","87.0","","",""
"C121425","","87.0","91.0","93.0","","",""
"C121426","","78.0","91.0","95.0","","",""
"C121427","","99.0","98.0","96.0","","",""
"C121428","","92.0","90.0","95.0","","",""
"C121429","","90.0","86.0","93.0","","",""
"C121430","","82.0","91.0","80.0","","",""
"C121431","","95.0","78.0","71.0","","",""
"C121432","","90.0","87.0","90.0","","",""
"C121433","","95.0","97.0","92.0","","",""
"C121434","","69.0","80.0","79.0","","",""
"C121435","","81.0","75.0","86.0","","",""
"C121436","","90.0","97.0","93.0","","",""
"C121437","","86.0","92.0","97.0","","",""
"C121438","","92.0","97.0","100.0","","",""
"C121439","","91.0","93.0","88.0","","",""
"C121440","","73.0","74.0","82.0","","",""
"C121441","","92.0","98.0","97.0","","",""
"C121442","","87.0","91.0","92.0","","",""
"C121443","","89.0","92.0","97.0","","",""
"C121444","","71.0","79.0","84.0","","",""
