"学号","姓名","平时成绩","期中成绩","期末成绩","学期成绩","班级名次","期末总评"
"C121401","","82.0","89.0","83.0","","",""
"C121402","","89.0","95.0","82.0","","",""
"C121403","","92.0","99.0","95.0","","",""
"C121404","","97.0","92.0","95.0","","",""
"C121405","","85.0","88.0","90.0","","",""
"C121406","","96.0","92.0","94.0","","",""
"C121407","","93.0","94.0","87.0","","",""
"C121408","","96.0","98.0","95.0","","",""
"C121409","","92.0","95.0","96.0","","",""
"C121410","","78.0","75.0","80.0","","",""
"C121411","","91.0","91.0","93.0","","",""
"C121412","","96.0","97.0","89.0","","",""
"C121413","","88.0","92.0","93.0","","",""
"C121414","","92.0","96.0","94.0","","",""
"C121415","","100.0","97.0","99.0","","",""
"C121416","","92.0","93.0","96.0","","",""
"C121417","","78.0","80.0","77.0","","",""
"C121418","","88.0","86.0","90.0","","",""
"C121419","","86.0","92.0","95.0","","",""
"C121420","","96.0","95.0","85.0","","",""
"C121421","","92.0","100.0","96.0","","",""
"C121422","","88.0","82.0","95.0","","",""
"C121423","","90.0","91.0","91.0","","",""
"C121424","","97.0","94.0","93.0","","",""
"C121425","","84.0","83.0","80.0","","",""
"C121426","","87.0","87.0","83.0","","",""
"C121427","","91.0","83.0","85.0","","",""
"C121428","","90.0","95.0","92.0","","",""
"C121429","","99.0","94.0","97.0","","",""
"C121430","","89.0","95.0","98.0","","",""
"C121431","","94.0","93.0","84.0","","",""
"C121432","","96.0","92.0","100.0","","",""
"C121433","","84.0","81.0","89.0","","",""
"C121434","","90.0","99.0","94.0","","",""
"C121435","","97.0","90.0","95.0","","",""
"C121436","","100.0","97.0","96.0","","",""
"C121437","","90.0","92.0","86.0","","",""
"C121438","","86.0","89.0","80.0","","",""
"C121439","","92.0","89.0","96.0","","",""
"C121440","","93.0","86.0","93.0","","",""
"C121441","","91.0","95.0","90.0","","",""
"C121442","","98.0","96.0","100.0","","",""
"C121443","","97.0","99.0","95.0","","",""
"C121444","","94.0","99.0","96.0","","",""
