"学号","姓名","平时成绩","期中成绩","期末成绩","学期成绩","班级名次","期末总评"
"C121401","","97.0","96.0","102.0","","",""
"C121402","","99.0","94.0","101.0","","",""
"C121403","","98.0","82.0","91.0","","",""
"C121404","","87.0","81.0","90.0","","",""
"C121405","","103.0","98.0","96.0","","",""
"C121406","","96.0","86.0","91.0","","",""
"C121407","","109.0","112.0","104.0","","",""
"C121408","","81.0","71.0","88.0","","",""
"C121409","","103.0","108.0","106.0","","",""
"C121410","","95.0","85.0","89.0","","",""
"C121411","","90.0","94.0","93.0","","",""
"C121412","","83.0","96.0","99.0","","",""
"C121413","","101.0","100.0","96.0","","",""
"C121414","","77.0","87.0","93.0","","",""
"C121415","","95.0","88.0","98.0","","",""
"C121416","","98.0","118.0","101.0","","",""
"C121417","","75.0","81.0","72.0","","",""
"C121418","","96.0","90.0","101.0","","",""
"C121419","","98.0","101.0","99.0","","",""
"C121420","","94.0","86.0","89.0","","",""
"C121421","","87.0","79.0","88.0","","",""
"C121422","","98.0","101.0","104.0","","",""
"C121423","","95.0","91.0","96.0","","",""
"C121424","","97.0","95.0","95.0","","",""
"C121425","","89.0","87.0","80.0","","",""
"C121426","","96.0","98.0","102.0","","",""
"C121427","","90.0","83.0","96.0","","",""
"C121428","","108.0","107.0","100.0","","",""
"C121429","","93.0","95.0","96.0","","",""
"C121430","","94.0","85.0","89.0","","",""
"C121431","","97.0","99.0","102.0","","",""
"C121432","","85.0","91.0","83.0","","",""
"C121433","","85.0","88.0","79.0","","",""
"C121434","","92.0","101.0","95.0","","",""
"C121435","","87.0","84.0","99.0","","",""
"C121436","","104.0","106.0","101.0","","",""
"C121437","","93.0","75.0","86.0","","",""
"C121438","","88.0","77.0","90.0","","",""
"C121439","","91.0","79.0","82.0","","",""
"C121440","","89.0","94.0","92.0","","",""
"C121441","","105.0","98.0","98.0","","",""
"C121442","","98.0","93.0","88.0","","",""
"C121443","","98.0","95.0","85.0","","",""
"C121444","","80.0","79.0","77.0","","",""
